T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.910000e+02,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,0.000000e+00
3.719840e+02,2.737514e-06,4.303517e-11,9.747217e-07,2.258335e-01,1.468198e-06,3.821725e-03,2.472878e-06,1.156529e-06,6.650885e-35,1.257396e-27,6.733824e-20,9.197711e-22,1.665859e-16,5.148627e-13,2.994013e-04,4.229878e-03,5.493033e-16,1.131596e-13,2.795455e-20,1.816698e-16,1.984491e-14,1.626411e-29,1.376937e-15,1.496675e-23,3.504283e-16,9.928496e-22,1.840080e-19,6.715357e-19,1.123226e-13,3.285934e-16,1.631354e-15,8.038974e-15,2.176077e-13,4.282775e-12,1.908400e-18,3.886183e-06,1.469430e-06,2.558958e-08,2.611846e-10,7.251740e-22,5.667724e-09,1.311086e-12,1.043885e-27,4.934217e-12,1.455889e-11,1.654821e-09,5.133356e-12,7.658013e-01,1.000000e-60,8.196885e-30,1.230462e-27,1.055605e-18,1.061054e-17,1.095879e-02
4.500921e+02,5.424521e-06,4.044836e-10,2.539498e-06,2.189153e-01,3.722165e-06,7.571351e-03,5.854188e-06,2.190308e-06,3.063107e-32,7.262265e-26,4.021678e-19,9.229045e-21,6.684985e-16,1.020252e-12,5.934993e-04,8.380209e-03,9.651594e-15,2.358170e-13,1.464395e-19,6.015596e-16,3.921961e-14,3.938730e-27,2.731458e-15,2.105934e-22,6.972079e-16,6.506462e-21,3.654736e-19,4.590899e-18,2.238311e-13,6.510689e-16,5.173250e-15,8.116132e-14,5.241410e-13,8.497255e-12,9.140717e-17,7.893154e-06,2.614687e-06,5.069935e-08,5.978983e-10,1.043652e-19,1.122952e-08,2.567974e-12,3.704184e-26,9.776214e-12,2.884561e-11,3.278752e-09,1.409025e-11,7.645093e-01,1.000000e-60,2.358228e-29,2.445318e-27,1.288628e-17,2.241039e-17,2.171270e-02
5.238414e+02,8.013340e-06,1.933745e-09,4.892546e-06,2.122544e-01,6.976945e-06,1.117979e-02,1.013239e-05,3.101628e-06,1.894849e-30,1.211085e-24,1.367702e-18,4.371202e-20,1.763352e-15,1.507244e-12,8.770432e-04,1.237448e-02,6.419653e-14,3.706523e-13,4.585242e-19,1.211750e-15,5.758018e-14,1.554326e-25,4.044659e-15,1.280657e-21,1.036485e-15,2.507741e-20,5.421498e-19,1.589842e-17,3.336108e-13,9.615885e-16,1.286451e-14,3.573142e-13,9.491882e-13,1.257804e-11,1.279566e-15,1.193753e-05,3.429631e-06,7.486765e-08,1.024660e-09,2.721996e-18,1.658331e-08,3.685649e-12,4.057265e-25,1.443722e-11,4.259781e-11,4.842089e-09,2.781635e-11,7.632657e-01,1.000000e-60,4.807733e-29,3.630584e-27,6.197352e-17,3.538356e-17,3.206409e-02
5.930484e+02,1.049917e-05,6.796937e-09,8.281755e-06,2.058713e-01,1.151243e-05,1.463556e-02,1.525110e-05,3.902206e-06,5.789842e-29,1.160100e-23,3.670897e-18,1.447395e-19,3.722999e-15,1.975025e-12,1.149306e-03,1.619997e-02,2.799776e-13,5.226681e-13,1.170242e-18,1.940951e-15,7.467630e-14,2.325130e-24,5.322809e-15,5.218292e-21,1.370528e-15,7.241843e-20,7.150561e-19,4.099980e-17,4.426361e-13,1.259396e-15,2.894332e-14,1.051560e-12,1.530172e-12,1.652806e-11,9.551840e-15,1.598977e-05,3.937623e-06,9.801877e-08,1.554187e-09,2.897279e-17,2.171267e-08,4.569512e-12,2.718320e-24,1.890342e-11,5.577344e-11,6.340225e-09,4.719329e-11,7.620743e-01,1.000000e-60,8.283497e-29,4.794243e-27,1.901737e-16,4.970298e-17,4.198062e-02
6.586944e+02,1.292003e-05,2.008221e-08,1.309787e-05,1.996821e-01,1.778401e-05,1.798373e-02,2.114961e-05,4.609935e-06,1.146356e-27,8.177921e-23,8.666521e-18,3.917379e-19,6.866150e-15,2.430937e-12,1.414049e-03,1.990653e-02,9.702666e-13,7.007953e-13,2.686381e-18,2.687997e-15,9.055303e-14,1.965171e-23,6.599399e-15,1.697510e-20,1.708379e-15,1.725297e-19,8.886099e-19,9.059564e-17,5.539852e-13,1.548875e-15,6.162623e-14,2.457921e-12,2.327505e-12,2.041999e-11,4.938174e-14,2.008649e-05,4.170629e-06,1.204560e-07,2.203986e-09,1.830373e-16,2.668550e-08,5.121750e-12,1.408441e-23,2.323541e-11,6.854834e-11,7.793290e-09,7.345105e-11,7.609196e-01,1.000000e-60,1.279760e-28,5.968030e-27,4.440024e-16,6.586772e-17,5.159235e-02
7.218241e+02,1.532114e-05,5.270156e-08,1.994451e-05,1.935927e-01,2.648502e-05,2.127457e-02,2.766818e-05,5.235346e-06,1.698030e-26,4.734338e-22,1.891825e-17,9.386779e-19,1.160555e-14,2.883930e-12,1.675551e-03,2.354990e-02,2.893626e-12,9.173840e-13,5.790734e-18,3.326604e-15,1.052666e-13,1.160537e-22,7.921291e-15,4.804448e-20,2.062306e-15,3.564586e-19,1.068203e-18,1.835700e-16,6.717010e-13,1.835463e-15,1.270945e-13,4.972337e-12,3.434247e-12,2.434284e-11,2.002827e-13,2.427440e-05,4.155688e-06,1.425181e-07,2.989886e-09,8.345115e-16,3.157842e-08,5.261453e-12,6.224140e-23,2.750386e-11,8.112482e-11,9.224109e-09,1.082593e-10,7.597840e-01,1.000000e-60,1.808361e-28,7.194581e-27,8.579854e-16,8.463012e-17,6.104484e-02
7.830714e+02,1.773875e-05,1.251046e-07,2.970346e-05,1.875438e-01,3.858946e-05,2.453924e-02,3.444004e-05,5.776430e-06,1.999550e-25,2.356086e-21,3.913843e-17,2.079274e-18,1.848215e-14,3.341846e-12,1.936732e-03,2.716466e-02,7.651939e-12,1.187259e-12,1.194989e-17,3.749399e-15,1.187626e-13,5.385170e-22,9.347350e-15,1.234338e-19,2.447150e-15,6.560020e-19,1.258399e-18,3.535666e-16,8.004920e-13,2.124209e-15,2.566578e-13,9.115185e-12,4.982805e-12,2.837907e-11,6.745911e-13,2.857476e-05,3.922104e-06,1.644159e-07,3.912102e-09,3.053106e-15,3.644122e-08,4.990291e-12,2.436473e-22,3.176158e-11,9.364799e-11,1.064788e-08,1.536620e-10,7.586565e-01,1.000000e-60,2.339900e-28,8.524917e-27,1.432282e-15,1.069723e-16,7.042947e-02
8.426846e+02,2.020095e-05,2.699185e-07,4.357265e-05,1.815119e-01,5.535436e-05,2.778920e-02,4.087995e-05,6.219262e-06,1.904215e-24,1.025687e-20,7.764286e-17,4.356317e-18,2.818641e-14,3.812116e-12,2.199140e-03,3.076363e-02,1.813445e-11,1.525479e-12,2.377077e-17,3.930940e-15,1.309159e-13,2.101532e-21,1.095877e-14,2.939913e-19,2.882355e-15,1.092172e-18,1.461056e-18,6.597012e-16,9.461558e-13,2.420872e-15,5.077894e-13,1.553357e-11,7.143576e-12,3.260772e-11,1.939738e-12,3.297401e-05,3.514830e-06,1.862266e-07,4.941061e-09,9.515220e-15,4.129705e-08,4.439940e-12,8.554621e-22,3.604874e-11,1.062223e-10,1.207228e-08,2.119639e-10,7.575329e-01,1.000000e-60,2.777522e-28,1.002621e-26,2.115437e-15,1.341616e-16,7.978179e-02
9.006962e+02,2.273492e-05,5.322052e-07,6.308213e-05,1.754952e-01,7.831588e-05,3.102371e-02,4.632641e-05,6.540023e-06,1.486676e-23,3.953760e-20,1.487180e-16,8.745030e-18,4.161127e-14,4.303999e-12,2.463581e-03,3.434620e-02,3.884589e-11,1.944246e-12,4.565546e-17,3.936359e-15,1.416310e-13,7.202393e-21,1.287946e-14,6.582270e-19,3.396206e-15,1.666810e-18,1.673284e-18,1.204438e-15,1.116519e-12,2.734404e-15,9.807531e-13,2.501659e-11,1.011799e-11,3.711787e-11,4.858489e-12,3.743161e-05,2.997104e-06,2.079419e-07,6.015888e-09,2.619299e-14,4.615547e-08,3.813398e-12,2.717413e-21,4.041105e-11,1.189717e-10,1.350121e-08,2.857874e-10,7.564130e-01,1.000000e-60,3.098357e-28,1.180011e-26,2.814723e-15,1.679465e-16,8.910332e-02
