T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.910000e+02,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,0.000000e+00
3.798710e+02,2.694745e-06,4.657440e-11,9.666642e-07,2.251501e-01,1.519060e-06,4.185735e-03,2.473073e-06,1.181174e-06,2.320490e-34,6.289391e-28,3.026373e-20,3.784988e-22,6.617255e-17,1.867598e-13,3.013836e-04,4.670953e-03,5.948623e-16,8.023443e-14,1.083247e-20,6.375138e-17,7.446307e-15,1.035607e-29,5.345354e-16,5.271233e-24,1.058280e-16,2.696826e-22,4.650417e-20,3.354763e-19,5.240539e-14,1.627462e-16,1.234808e-15,8.192191e-15,1.999713e-13,3.780225e-12,2.512996e-18,4.497103e-06,1.706579e-06,2.903016e-08,2.802803e-10,9.494060e-22,4.795797e-09,9.510302e-13,4.961575e-28,3.956543e-12,1.373810e-11,1.507367e-09,4.265269e-12,7.656767e-01,1.000000e-60,8.229706e-31,1.150652e-28,4.987122e-19,3.128344e-18,1.199442e-02
4.644645e+02,5.310099e-06,4.611063e-10,2.575350e-06,2.176469e-01,3.899867e-06,8.246103e-03,5.927443e-06,2.219426e-06,1.542218e-32,3.871934e-26,1.830840e-19,3.958424e-21,2.754767e-16,3.680288e-13,5.941365e-04,9.202273e-03,1.088027e-14,1.678420e-13,5.826231e-20,2.160335e-16,1.462567e-14,2.842390e-27,1.054691e-15,7.877061e-23,2.095002e-16,1.912286e-21,9.189809e-20,2.335641e-18,1.039535e-13,3.206610e-16,4.238571e-15,8.808688e-14,4.856663e-13,7.460344e-12,1.321461e-16,9.099102e-06,2.996068e-06,5.719443e-08,6.454250e-10,1.506325e-19,9.448824e-09,1.845112e-12,1.812941e-26,7.795299e-12,2.706713e-11,2.969906e-09,1.224451e-11,7.642785e-01,1.000000e-60,2.405841e-30,2.275373e-28,6.268515e-18,6.618547e-18,2.363167e-02
5.428427e+02,7.788184e-06,2.261984e-09,5.032226e-06,2.105445e-01,7.366659e-06,1.208765e-02,1.029990e-05,3.116191e-06,1.280225e-30,6.619418e-25,6.245851e-19,1.896702e-20,7.341026e-16,5.398158e-13,8.717071e-04,1.348962e-02,7.344935e-14,2.649366e-13,1.868967e-19,4.351947e-16,2.129296e-14,1.118200e-25,1.551372e-15,4.906617e-22,3.095145e-16,7.650049e-21,1.354750e-19,8.115998e-18,1.540687e-13,4.701703e-16,1.124218e-14,3.936341e-13,8.834418e-13,1.096852e-11,1.878463e-15,1.367999e-05,3.869958e-06,8.384569e-08,1.108261e-09,3.871001e-18,1.385234e-08,2.603480e-12,2.001782e-25,1.142832e-11,3.968122e-11,4.354192e-09,2.478653e-11,7.629553e-01,1.000000e-60,4.919785e-30,3.357766e-28,3.021144e-17,1.044597e-17,3.464446e-02
6.151021e+02,1.013169e-05,8.032437e-09,8.596054e-06,2.038466e-01,1.221780e-05,1.570807e-02,1.548321e-05,3.889130e-06,4.049844e-29,6.365193e-24,1.671900e-18,6.270435e-20,1.545213e-15,7.023461e-13,1.134106e-03,1.753035e-02,3.208717e-13,3.758416e-13,4.867552e-19,6.877764e-16,2.737252e-14,1.598730e-24,2.029069e-15,2.017500e-21,4.069295e-16,2.231664e-20,1.776727e-19,2.089683e-17,2.033800e-13,6.113184e-16,2.641525e-14,1.149496e-12,1.426933e-12,1.431839e-11,1.381911e-14,1.820722e-05,4.373758e-06,1.089690e-07,1.679579e-09,3.925830e-17,1.800425e-08,3.147109e-12,1.339252e-24,1.485437e-11,5.157457e-11,5.659779e-09,4.260106e-11,7.617078e-01,1.000000e-60,8.416111e-30,4.409791e-28,9.142398e-17,1.466347e-17,4.502672e-02
6.827057e+02,1.238915e-05,2.371616e-08,1.368258e-05,1.974324e-01,1.894850e-05,1.917225e-02,2.136765e-05,4.561277e-06,7.780081e-28,4.449350e-23,3.925766e-18,1.687197e-19,2.826532e-15,8.590706e-13,1.386250e-03,2.139694e-02,1.104053e-12,5.080427e-13,1.136275e-18,9.302533e-16,3.291509e-14,1.280475e-23,2.503807e-15,6.584659e-21,5.050193e-16,5.291426e-20,2.198485e-19,4.607442e-17,2.535663e-13,7.469243e-16,5.777273e-14,2.641212e-12,2.171675e-12,1.759010e-11,6.953603e-14,2.273374e-05,4.560317e-06,1.330163e-07,2.375478e-09,2.351665e-16,2.197998e-08,3.408678e-12,6.886967e-24,1.813715e-11,6.296509e-11,6.910702e-09,6.669524e-11,7.605137e-01,1.000000e-60,1.277098e-29,5.467441e-28,2.086989e-16,1.943244e-17,5.496538e-02
7.470818e+02,1.461425e-05,6.167654e-08,2.095053e-05,1.911771e-01,2.833017e-05,2.254704e-02,2.774303e-05,5.145513e-06,1.123827e-26,2.535802e-22,8.521145e-18,4.021516e-19,4.735216e-15,1.013912e-12,1.633314e-03,2.516403e-02,3.246813e-12,6.717976e-13,2.484780e-18,1.117749e-15,3.797062e-14,7.194123e-23,2.996986e-15,1.865225e-20,6.080581e-16,1.081120e-19,2.635556e-19,9.331429e-17,3.067589e-13,8.802333e-16,1.211375e-13,5.238301e-12,3.204628e-12,2.087587e-11,2.728705e-13,2.732235e-05,4.471780e-06,1.564532e-07,3.209620e-09,1.021689e-15,2.585806e-08,3.360851e-12,3.008068e-23,2.134533e-11,7.408462e-11,8.132127e-09,9.850813e-11,7.593497e-01,1.000000e-60,1.749489e-29,6.577153e-28,3.927254e-16,2.500022e-17,6.465345e-02
8.091909e+02,1.685266e-05,1.442413e-07,3.137082e-05,1.849936e-01,4.145744e-05,2.587849e-02,3.420158e-05,5.640657e-06,1.299948e-25,1.237971e-21,1.755107e-17,8.883407e-19,7.483843e-15,1.170497e-12,1.879144e-03,2.888315e-02,8.426607e-12,8.791632e-13,5.192730e-18,1.224532e-15,4.255075e-14,3.205551e-22,3.535877e-15,4.790226e-20,7.213096e-16,1.963306e-19,3.100725e-19,1.801488e-16,3.654798e-13,1.014407e-15,2.469753e-13,9.414467e-12,4.649047e-12,2.426379e-11,8.873263e-13,3.200765e-05,4.151318e-06,1.796007e-07,4.177437e-09,3.592451e-15,2.969482e-08,3.061833e-12,1.160975e-22,2.453428e-11,8.511509e-11,9.342433e-09,1.398559e-10,7.581996e-01,1.000000e-60,2.168098e-29,7.795627e-28,6.369398e-16,3.169898e-17,7.422515e-02
8.695817e+02,1.914498e-05,3.064087e-07,4.630289e-05,1.788304e-01,5.980201e-05,2.919288e-02,4.015804e-05,6.031616e-06,1.234434e-24,5.308043e-21,3.480235e-17,1.865062e-18,1.136213e-14,1.332610e-12,2.126382e-03,3.258382e-02,1.960598e-11,1.142227e-12,1.045587e-17,1.258360e-15,4.664485e-14,1.217063e-21,4.159526e-15,1.142036e-19,8.519931e-16,3.229894e-19,3.599184e-19,3.383824e-16,4.329866e-13,1.153251e-15,4.918812e-13,1.577242e-11,6.666876e-12,2.784442e-11,2.471750e-12,3.678936e-05,3.655720e-06,2.026404e-07,5.244146e-09,1.087689e-14,3.352677e-08,2.647377e-12,4.034117e-22,2.775264e-11,9.621329e-11,1.055399e-08,1.929644e-10,7.570541e-01,1.000000e-60,2.461895e-29,9.201556e-28,9.135022e-16,3.998773e-17,8.375899e-02
9.285841e+02,2.153572e-05,5.967639e-07,6.752889e-05,1.726556e-01,8.524632e-05,3.250542e-02,4.499763e-05,6.291529e-06,9.818558e-24,2.036443e-20,6.707983e-17,3.776935e-18,1.677246e-14,1.505225e-12,2.377176e-03,3.628324e-02,4.139857e-11,1.470255e-12,2.034777e-17,1.249939e-15,5.026126e-14,4.124030e-21,4.929714e-15,2.570579e-19,1.011065e-15,4.886676e-19,4.123450e-19,6.255197e-16,5.138836e-13,1.302696e-15,9.568049e-13,2.509019e-11,9.455434e-12,3.172558e-11,6.041341e-12,4.164229e-05,3.058070e-06,2.256710e-07,6.345130e-09,2.943961e-14,3.738275e-08,2.252545e-12,1.279879e-21,3.105866e-11,1.075755e-10,1.177698e-08,2.605869e-10,7.559074e-01,1.000000e-60,2.678186e-29,1.092021e-27,1.181068e-15,5.054278e-17,9.330297e-02
