T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.910000e+02,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,0.000000e+00
3.537510e+02,9.954775e-06,7.413729e-16,2.972558e-11,2.271056e-01,1.994051e-11,3.398895e-03,2.156604e-06,5.853299e-06,1.891089e-35,1.084192e-29,3.835977e-17,1.021478e-21,1.349181e-11,4.743984e-05,1.259959e-03,2.270105e-03,1.198592e-15,7.721400e-06,1.932470e-17,9.684480e-12,9.856998e-07,3.069897e-27,5.978083e-08,1.094870e-18,2.545131e-06,1.313416e-14,7.514198e-07,1.995684e-16,2.652612e-06,3.506770e-10,4.557431e-24,3.997313e-19,1.033199e-13,3.134000e-12,2.014758e-23,9.739619e-11,1.855893e-09,7.628052e-09,1.874983e-14,1.004698e-28,1.571572e-10,1.926129e-16,1.015675e-29,6.906875e-12,2.068157e-13,8.784521e-11,3.056662e-13,7.658850e-01,1.000000e-60,4.848624e-14,1.236248e-08,6.593951e-15,3.062706e-07,1.028005e-02
4.147295e+02,1.976594e-05,1.337010e-14,1.374890e-10,2.214121e-01,1.018842e-10,6.748756e-03,4.954077e-06,1.127588e-05,4.457929e-35,1.845758e-27,3.519673e-16,3.290701e-20,8.335873e-11,9.419532e-05,2.501742e-03,4.507461e-03,1.326191e-14,1.533134e-05,1.991176e-16,8.372562e-11,1.957181e-06,9.605628e-25,1.186993e-07,2.610416e-17,5.053551e-06,9.716014e-14,1.492000e-06,2.651227e-15,5.266962e-06,6.962951e-10,2.551426e-23,5.129858e-18,2.052191e-13,6.222730e-12,1.561140e-21,2.413400e-10,3.611494e-09,1.514606e-08,3.729535e-14,2.036796e-26,3.120472e-10,3.822953e-16,1.175717e-27,1.371411e-11,4.106479e-13,1.744231e-10,6.072749e-13,7.646698e-01,1.000000e-60,2.279961e-13,2.454662e-08,9.499229e-14,6.081288e-07,2.041179e-02
4.730098e+02,2.928613e-05,1.184956e-13,4.599817e-10,2.158872e-01,3.765783e-10,9.999268e-03,8.294635e-06,1.621488e-05,1.000000e-60,8.471381e-26,1.761995e-15,5.031895e-19,3.499000e-10,1.395641e-04,3.706697e-03,6.678462e-03,8.037000e-14,2.271529e-05,1.177142e-15,3.502369e-10,2.899855e-06,6.363589e-23,1.758705e-07,2.784049e-16,7.487592e-06,4.574308e-13,2.210618e-06,1.776038e-14,7.803794e-06,1.031663e-09,1.213576e-22,2.614483e-17,3.043508e-13,9.219624e-12,3.870956e-20,4.423126e-10,5.221048e-09,2.244110e-08,5.567630e-14,9.430468e-25,4.623435e-10,5.653540e-16,3.814633e-26,2.031946e-11,6.084348e-13,2.584327e-10,9.006693e-13,7.634908e-01,1.000000e-60,7.412332e-13,3.636945e-08,6.968979e-13,9.010481e-07,3.024305e-02
5.281948e+02,3.844499e-05,7.287965e-13,1.311976e-09,2.105717e-01,1.167444e-09,1.312640e-02,1.208685e-05,2.066769e-05,3.035998e-34,2.042803e-24,6.721953e-15,5.102052e-18,1.185165e-09,1.832110e-04,4.865917e-03,8.767059e-03,3.630481e-13,2.981814e-05,5.351779e-15,1.053974e-09,3.806758e-06,1.703943e-21,2.308724e-07,1.935039e-15,9.829291e-06,1.764876e-12,2.901967e-06,8.464722e-14,1.024439e-05,1.354302e-09,5.255778e-22,8.545871e-17,4.004029e-13,1.210213e-11,5.067553e-19,7.092700e-10,6.656649e-09,2.945926e-08,7.464832e-14,1.870913e-23,6.069353e-10,7.378211e-16,6.778715e-25,2.667410e-11,7.987147e-13,3.392521e-10,1.184779e-12,7.623564e-01,1.000000e-60,1.964842e-12,4.774364e-08,3.701891e-12,1.182880e-06,3.970117e-02
5.804458e+02,4.725975e-05,3.571685e-12,3.386680e-09,2.054556e-01,3.220763e-09,1.613604e-02,1.627885e-05,2.467196e-05,3.065635e-32,3.340897e-23,2.195004e-14,3.935928e-17,3.465970e-09,2.252180e-04,5.981583e-03,1.077718e-02,1.363713e-12,3.665205e-05,2.069086e-14,2.598269e-09,4.679604e-06,2.529525e-20,2.838094e-07,1.021224e-14,1.208311e-05,6.016532e-12,3.567359e-06,3.267582e-13,1.259343e-05,1.664820e-09,2.117192e-21,2.192531e-16,4.943579e-13,1.487492e-11,4.417145e-18,1.052310e-09,7.906281e-09,3.621372e-08,9.606033e-14,2.151185e-22,7.460944e-10,8.958420e-16,8.479568e-24,3.278998e-11,9.818453e-13,4.170306e-10,1.462612e-12,7.612647e-01,1.000000e-60,4.496906e-12,5.869083e-08,1.616636e-11,1.454188e-06,4.880391e-02
6.301028e+02,5.577709e-05,1.513159e-11,8.181571e-09,2.005120e-01,8.210410e-09,1.904409e-02,2.085194e-05,2.826725e-05,4.306709e-30,4.288417e-22,6.533506e-14,2.513227e-16,9.107291e-09,2.658076e-04,7.059596e-03,1.271944e-02,4.524248e-12,4.325074e-05,7.179975e-14,5.552083e-09,5.523016e-06,2.511198e-19,3.349643e-07,4.469228e-14,1.426110e-05,1.885369e-11,4.210347e-06,1.097894e-12,1.486351e-05,1.964860e-09,8.242390e-21,4.939156e-16,5.881022e-13,1.755134e-11,2.944559e-17,1.483943e-09,8.960145e-09,4.274021e-08,1.231188e-13,1.711453e-21,8.805566e-10,1.040418e-15,8.591661e-23,3.869945e-11,1.158795e-12,4.921748e-10,1.740409e-12,7.602099e-01,1.000000e-60,9.118843e-12,6.926954e-08,6.203193e-11,1.716472e-06,5.759942e-02
6.775652e+02,6.405523e-05,5.787026e-11,1.887162e-08,1.957071e-01,1.981282e-08,2.187037e-02,2.581310e-05,3.148476e-05,1.791339e-28,4.714405e-21,1.848752e-13,1.399410e-15,2.202897e-08,3.052571e-04,8.107306e-03,1.460706e-02,1.375403e-11,4.965454e-05,2.308812e-13,1.057358e-08,6.342748e-06,1.875679e-18,3.846928e-07,1.713739e-13,1.637837e-05,5.556816e-11,4.835393e-06,3.354658e-12,1.707055e-05,2.256477e-09,3.200297e-20,1.044930e-15,6.845119e-13,2.014759e-11,1.625223e-16,2.019526e-09,9.806383e-09,4.908320e-08,1.607938e-13,1.052061e-20,1.011239e-09,1.189382e-15,7.652410e-22,4.444281e-11,1.330771e-12,5.651884e-10,2.028270e-12,7.591847e-01,1.000000e-60,1.651975e-11,7.955342e-08,2.157498e-10,1.971652e-06,6.614764e-02
7.232934e+02,7.216583e-05,2.034572e-10,4.220819e-08,1.909997e-01,4.610628e-08,2.463919e-02,3.119984e-05,3.434249e-05,6.263393e-27,4.700210e-20,5.161359e-13,7.062112e-15,4.996718e-08,3.439082e-04,9.133739e-03,1.645627e-02,3.934537e-11,5.590993e-05,7.042740e-13,1.833786e-08,7.145881e-06,1.143128e-17,4.334393e-07,5.989477e-13,1.845373e-05,1.565412e-10,5.448069e-06,9.617898e-12,1.923451e-05,2.542207e-09,1.264448e-19,2.163137e-15,7.879118e-13,2.268289e-11,7.746714e-16,2.679440e-09,1.042809e-08,5.529729e-08,2.167444e-13,5.388561e-20,1.139266e-09,1.385739e-15,6.313778e-21,5.006964e-11,1.499257e-12,6.366866e-10,2.341989e-12,7.581803e-01,1.000000e-60,2.680812e-11,8.963476e-08,6.869504e-10,2.222187e-06,7.452217e-02
7.676710e+02,8.017069e-05,6.591922e-10,9.238201e-08,1.863546e-01,1.045953e-07,2.737124e-02,3.706055e-05,3.683180e-05,1.903834e-25,4.400594e-19,1.466599e-12,3.304909e-14,1.075373e-07,3.820557e-04,1.014660e-02,1.828085e-02,1.075646e-10,6.204792e-05,2.066950e-12,2.954116e-08,7.938562e-06,5.989719e-17,4.816070e-07,1.956093e-12,2.050395e-05,4.245521e-10,6.053402e-06,2.637644e-11,2.137371e-05,2.824267e-09,5.097101e-19,4.475497e-15,9.043896e-13,2.517168e-11,3.247799e-15,3.488305e-09,1.079972e-08,6.142901e-08,3.027937e-13,2.413595e-19,1.265599e-09,1.689746e-15,4.977946e-20,5.562250e-11,1.665525e-12,7.071840e-10,2.704631e-12,7.571892e-01,1.000000e-60,3.922599e-11,9.959804e-08,1.989890e-09,2.470479e-06,8.278574e-02
