T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.910000e+02,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,0.000000e+00
3.219162e+02,3.940680e-05,9.249720e-22,1.217320e-19,2.295645e-01,3.230351e-17,1.924265e-03,1.119082e-07,1.444915e-05,3.894810e-33,4.042716e-34,4.051544e-25,4.606482e-31,3.342478e-15,6.106975e-04,1.347702e-03,5.417818e-04,2.872191e-20,5.905281e-05,2.920849e-22,1.047651e-16,8.993990e-06,3.909653e-33,4.268002e-07,1.746513e-23,4.004522e-05,2.330756e-18,1.687333e-05,6.777413e-22,6.711036e-06,1.670625e-10,2.388342e-36,2.677354e-26,6.276515e-21,2.413586e-14,9.324146e-30,1.783399e-15,2.883134e-12,3.310661e-10,3.128625e-21,1.247478e-38,9.150911e-14,2.207595e-22,9.984264e-35,4.304214e-15,1.744295e-17,3.919987e-14,6.815785e-22,7.658245e-01,1.000000e-60,4.661492e-16,3.526086e-07,2.909189e-21,9.227713e-08,1.078417e-02
3.523741e+02,7.861194e-05,1.350701e-20,8.231420e-19,2.262639e-01,1.666925e-16,3.838684e-03,2.531426e-07,2.880895e-05,8.768898e-33,1.000000e-60,5.460958e-24,1.323936e-29,1.681813e-14,1.218270e-03,2.688507e-03,1.080791e-03,5.451070e-19,1.178034e-04,2.992782e-21,9.890376e-16,1.794196e-05,3.327528e-31,8.514163e-07,3.167492e-22,7.988553e-05,1.522368e-17,3.366031e-05,8.264589e-21,1.338773e-05,3.332701e-10,1.000000e-60,2.346199e-25,1.259253e-20,4.814822e-14,3.516704e-28,4.198331e-15,5.750532e-12,6.604381e-10,6.310649e-21,8.961066e-37,1.825500e-13,4.403878e-22,1.344161e-34,8.586403e-15,3.479664e-17,7.819915e-14,1.363623e-21,7.645378e-01,1.000000e-60,1.847488e-15,7.034128e-07,6.172382e-20,1.840821e-07,2.151315e-02
3.822003e+02,1.173954e-04,1.048923e-19,3.874526e-18,2.229987e-01,6.246811e-16,5.732513e-03,4.263432e-07,4.299705e-05,8.638010e-35,1.205127e-34,3.851350e-23,1.979004e-28,6.111673e-14,1.819308e-03,4.014892e-03,1.614004e-03,5.243646e-18,1.759222e-04,1.862119e-20,4.923192e-15,2.679369e-05,1.158067e-29,1.271466e-06,2.907933e-21,1.192974e-04,6.803376e-17,5.026675e-05,5.332718e-20,1.999262e-05,4.976901e-10,2.655728e-34,1.021685e-24,1.902295e-20,7.190232e-14,5.942105e-27,7.459515e-15,8.585755e-12,9.862677e-10,9.651320e-21,2.484117e-35,2.726117e-13,6.576461e-22,7.346688e-34,1.282254e-14,5.196369e-17,1.167790e-13,2.049491e-21,7.632649e-01,1.000000e-60,5.444100e-15,1.050444e-06,5.909915e-19,2.748996e-07,3.212674e-02
4.112781e+02,1.556028e-04,6.096112e-19,1.502691e-17,2.197821e-01,2.009537e-15,7.598210e-03,6.332172e-07,5.695572e-05,1.000000e-60,7.153709e-33,1.992706e-22,2.085743e-27,1.896211e-13,2.411418e-03,5.321574e-03,2.139295e-03,3.380250e-17,2.331776e-04,1.030712e-19,1.828647e-14,3.551393e-05,2.290217e-28,1.685275e-06,1.895674e-20,1.581237e-04,2.738216e-16,6.662650e-05,2.567120e-19,2.649939e-05,6.596677e-10,2.100640e-33,3.217725e-24,2.574355e-20,9.530356e-14,6.582209e-26,1.180445e-14,1.137712e-11,1.307257e-09,1.338496e-20,4.024451e-34,3.613355e-13,8.716580e-22,1.327054e-33,1.699574e-14,6.887573e-17,1.547857e-13,2.750900e-21,7.620109e-01,1.000000e-60,1.400389e-14,1.392320e-06,3.919699e-18,3.643681e-07,4.258267e-02
4.395745e+02,1.931839e-04,2.993998e-18,5.133047e-17,2.166181e-01,5.926053e-15,9.433324e-03,8.756231e-07,7.066552e-05,2.286638e-35,1.651660e-34,8.527037e-22,1.744493e-26,5.322256e-13,2.993822e-03,6.606837e-03,2.655976e-03,1.636449e-16,2.894945e-04,5.471629e-19,5.707234e-14,4.409123e-05,3.103811e-27,2.092302e-06,9.927428e-20,1.963136e-04,1.010334e-15,8.271809e-05,1.043844e-18,3.289950e-05,8.189902e-10,2.205782e-32,8.438649e-24,3.307890e-20,1.183212e-13,5.559183e-25,1.751977e-14,1.412053e-11,1.622985e-09,1.794925e-20,4.553672e-33,4.486050e-13,1.082197e-21,3.144239e-33,2.110054e-14,8.551055e-17,1.921695e-13,3.492716e-21,7.607774e-01,1.000000e-60,3.311476e-14,1.728593e-06,2.094412e-17,4.523701e-07,5.286721e-02
4.671046e+02,2.301496e-04,1.320524e-17,1.608374e-16,2.135059e-01,1.661889e-14,1.123839e-02,1.155868e-06,8.412927e-05,1.000000e-60,1.000000e-60,3.218270e-21,1.241760e-25,1.391004e-12,3.566689e-03,7.871054e-03,3.164196e-03,6.386187e-16,3.448892e-04,2.670067e-18,1.585455e-13,5.252807e-05,3.211085e-26,2.492663e-06,4.474979e-19,2.338782e-04,3.367063e-15,9.854618e-05,3.823545e-18,3.919481e-05,9.757038e-10,1.942684e-31,1.988737e-23,4.155229e-20,1.409619e-13,3.889208e-24,2.496039e-14,1.681622e-11,1.933543e-09,2.407881e-20,3.996658e-32,5.344455e-13,1.289813e-21,7.727030e-33,2.513813e-14,1.018730e-16,2.289411e-13,4.317821e-21,7.595642e-01,1.000000e-60,7.369890e-14,2.059358e-06,9.727301e-17,5.389310e-07,6.298334e-02
4.938819e+02,2.665078e-04,5.379405e-17,4.738643e-16,2.104449e-01,4.504271e-14,1.301379e-02,1.476491e-06,9.734856e-05,1.000000e-60,1.000000e-60,1.111983e-20,7.854995e-25,3.438637e-12,4.130142e-03,9.114496e-03,3.664065e-03,2.107375e-15,3.993737e-04,1.148952e-17,4.045011e-13,6.082628e-05,2.702046e-25,2.886446e-06,1.809287e-18,2.708255e-04,1.011350e-14,1.141142e-04,1.302122e-17,4.538668e-05,1.129842e-09,1.390213e-30,4.405674e-23,5.195318e-20,1.632306e-13,2.355911e-23,3.455952e-14,1.946412e-11,2.238997e-09,3.292766e-20,2.893013e-31,6.188753e-13,1.496674e-21,1.000000e-60,2.910936e-14,1.179665e-16,2.651084e-13,5.293618e-21,7.583709e-01,1.000000e-60,1.561185e-13,2.384689e-06,4.082357e-16,6.240697e-07,7.293323e-02
5.199168e+02,3.022608e-04,2.042796e-16,1.330489e-15,2.074347e-01,1.181536e-13,1.475964e-02,1.840465e-06,1.103226e-04,1.367153e-32,8.318725e-33,3.591572e-20,4.525922e-24,8.119346e-12,4.684216e-03,1.033724e-02,4.155614e-03,6.084995e-15,4.529513e-04,4.316024e-17,9.660709e-13,6.898635e-05,1.915118e-24,3.273673e-06,6.710594e-18,3.071577e-04,2.763542e-14,1.294230e-04,4.168393e-17,5.147547e-05,1.281415e-09,8.191348e-30,9.410723e-23,6.546421e-20,1.851286e-13,1.262357e-22,4.685603e-14,2.206356e-11,2.539367e-09,4.626049e-20,1.785535e-30,7.018998e-13,1.709374e-21,4.859412e-33,3.301449e-14,1.337922e-16,3.006737e-13,6.524129e-21,7.571974e-01,1.000000e-60,3.166603e-13,2.704604e-06,1.575243e-15,7.077914e-07,8.271750e-02
5.452470e+02,3.374472e-04,7.235702e-16,3.579611e-15,2.044723e-01,2.980052e-13,1.647782e-02,2.251607e-06,1.230636e-04,1.000000e-60,7.306805e-32,1.095746e-19,2.400399e-23,1.840977e-11,5.229508e-03,1.154060e-02,4.639370e-03,1.578288e-14,5.056798e-04,1.428409e-16,2.183473e-12,7.701708e-05,1.165479e-23,3.654763e-06,2.306066e-17,3.429141e-04,6.964810e-14,1.444892e-04,1.254445e-16,5.746775e-05,1.430585e-09,4.067897e-29,1.962127e-22,8.386039e-20,2.066795e-13,6.044511e-22,6.253027e-14,2.461632e-11,2.834976e-09,6.672781e-20,9.563874e-30,7.836082e-13,1.944140e-21,2.676688e-32,3.685772e-14,1.493670e-16,3.356752e-13,8.169336e-21,7.560426e-01,1.000000e-60,6.163339e-13,3.019448e-06,5.621489e-15,7.901865e-07,9.234668e-02
