T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.910000e+02,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,0.000000e+00
3.270440e+02,3.860751e-05,7.512130e-21,9.802239e-19,2.291195e-01,2.254977e-16,2.225956e-03,2.306891e-07,1.383060e-05,3.019724e-35,9.712573e-36,4.426199e-24,9.134287e-30,1.009140e-14,4.805520e-04,1.487318e-03,6.814691e-04,1.225049e-19,5.312036e-05,1.466360e-21,6.530639e-16,6.543167e-06,4.441623e-32,5.008640e-07,1.308964e-22,4.066838e-05,1.065662e-17,1.629517e-05,6.637440e-21,9.136159e-06,2.735541e-10,1.576464e-34,1.024332e-24,3.324510e-19,9.774502e-14,9.003687e-29,1.725012e-14,9.918313e-12,5.894372e-10,9.353710e-20,7.186812e-37,5.310239e-13,3.079182e-21,2.693886e-38,2.485387e-14,1.340530e-16,2.037272e-13,5.004616e-20,7.658257e-01,1.000000e-60,1.026071e-15,4.150773e-07,2.711420e-20,1.753285e-07,1.077459e-02
3.625063e+02,7.699855e-05,1.197472e-19,6.881799e-18,2.253780e-01,1.214076e-15,4.439431e-03,5.275363e-07,2.754891e-05,7.894349e-37,9.923041e-35,6.191896e-23,2.941582e-28,5.502743e-14,9.584096e-04,2.966297e-03,1.359117e-03,2.193297e-18,1.059429e-04,1.558698e-20,6.529135e-15,1.304965e-05,5.481677e-30,9.989198e-07,2.591292e-21,8.110874e-05,7.262190e-17,3.249897e-05,8.610619e-20,1.822109e-05,5.455744e-10,2.085515e-33,9.796626e-24,6.654316e-19,1.949420e-13,4.125550e-27,4.137913e-14,1.977032e-11,1.175570e-09,1.880543e-19,6.711698e-35,1.059070e-12,6.141061e-21,1.650725e-34,4.956839e-14,2.673543e-16,4.063121e-13,9.999927e-20,7.645407e-01,1.000000e-60,4.336749e-15,8.278273e-07,6.303459e-19,3.496740e-07,2.148878e-02
3.971659e+02,1.149383e-04,1.015417e-18,3.378305e-17,2.216804e-01,4.785053e-15,6.626885e-03,8.951333e-07,4.106768e-05,7.178488e-34,1.981365e-34,4.556236e-22,4.838664e-27,2.144411e-13,1.430650e-03,4.427889e-03,2.028799e-03,2.170935e-17,1.581444e-04,1.021127e-19,3.371659e-14,1.947964e-05,2.349784e-28,1.491120e-06,2.578254e-20,1.210737e-04,3.405646e-16,4.851228e-05,5.918282e-19,2.719922e-05,8.143968e-10,1.948650e-32,4.483100e-23,1.001148e-18,2.909963e-13,8.129475e-26,7.479998e-14,2.949183e-11,1.754811e-09,2.860946e-19,2.244899e-33,1.580909e-12,9.166702e-21,2.505220e-34,7.399237e-14,3.990886e-16,6.065154e-13,1.499492e-19,7.632708e-01,1.000000e-60,1.351249e-14,1.235725e-06,6.528680e-18,5.219699e-07,3.207701e-02
4.308795e+02,1.522675e-04,6.398430e-18,1.371758e-16,2.180423e-01,1.617712e-14,8.779141e-03,1.336162e-06,5.432805e-05,3.804940e-34,4.304593e-37,2.470516e-21,5.581337e-26,7.073738e-13,1.895291e-03,5.865963e-03,2.687706e-03,1.467528e-16,2.095060e-04,6.029794e-19,1.283418e-13,2.580617e-05,5.432943e-27,1.975401e-06,1.806950e-19,1.603956e-04,1.432572e-15,6.426793e-05,3.019666e-18,3.603289e-05,1.078894e-09,1.804715e-31,1.448097e-22,1.346349e-18,3.855051e-13,1.015948e-24,1.202147e-13,3.903770e-11,2.324733e-09,3.939324e-19,4.160502e-32,2.094351e-12,1.214299e-20,3.269795e-35,9.802336e-14,5.287031e-16,8.034974e-13,2.005349e-19,7.620214e-01,1.000000e-60,3.647306e-14,1.637060e-06,4.652091e-17,6.914935e-07,4.249486e-02
4.636137e+02,1.889416e-04,3.382716e-17,4.931778e-16,2.144679e-01,5.005554e-14,1.089362e-02,1.853856e-06,6.731218e-05,1.520768e-37,1.379128e-35,1.114244e-20,5.100574e-25,2.096270e-12,2.351777e-03,7.278797e-03,3.335047e-03,7.415968e-16,2.599662e-04,3.420898e-18,4.075150e-13,3.202166e-05,8.278632e-26,2.451182e-06,1.013554e-18,1.990273e-04,5.490823e-15,7.974705e-05,1.295856e-17,4.471152e-05,1.338748e-09,1.678783e-30,3.837265e-22,1.714507e-18,4.783551e-13,9.452155e-24,1.809141e-13,4.839137e-11,2.884652e-09,5.238407e-19,5.198771e-31,2.598782e-12,1.506755e-20,6.321693e-36,1.216326e-13,6.560428e-16,9.970221e-13,2.532716e-19,7.607939e-01,1.000000e-60,8.987036e-14,2.031350e-06,2.660303e-16,8.580419e-07,5.272988e-02
4.953870e+02,2.249712e-04,1.594422e-16,1.634324e-15,2.109564e-01,1.469155e-13,1.297095e-02,2.452457e-06,8.002176e-05,5.409089e-33,2.703734e-34,4.455601e-20,3.966300e-24,5.749792e-12,2.800242e-03,8.666805e-03,3.971014e-03,2.994764e-15,3.095397e-04,1.757305e-17,1.145861e-12,3.812793e-05,9.365084e-25,2.918603e-06,4.886130e-18,2.369802e-04,1.892956e-14,9.495418e-05,4.988182e-17,5.323765e-05,1.594037e-09,1.408129e-29,9.059684e-22,2.127678e-18,5.695735e-13,7.153727e-23,2.609809e-13,5.754936e-11,3.434732e-09,6.968042e-19,4.916365e-30,3.094349e-12,1.795505e-20,1.096523e-34,1.448269e-13,7.811450e-16,1.187146e-12,3.108418e-19,7.595880e-01,1.000000e-60,2.069035e-13,2.418712e-06,1.317450e-15,1.021664e-06,6.278504e-02
5.262060e+02,2.603513e-04,6.877020e-16,5.102561e-15,2.075081e-01,4.141693e-13,1.501083e-02,3.136548e-06,9.245251e-05,6.431731e-35,4.546972e-32,1.634873e-19,2.730417e-23,1.483183e-11,3.240622e-03,1.002979e-02,4.595515e-03,1.014707e-14,3.582195e-04,7.806003e-17,2.944941e-12,4.412412e-05,8.412979e-24,3.377597e-06,2.103495e-17,2.742489e-04,5.872417e-14,1.098871e-04,1.772049e-16,6.161007e-05,1.844723e-09,9.927714e-29,2.001864e-21,2.618951e-18,6.591472e-13,4.610639e-22,3.653804e-13,6.650272e-11,3.974894e-09,9.459509e-19,3.753768e-29,3.580982e-12,2.086680e-20,1.557174e-32,1.676031e-13,9.039917e-16,1.373843e-12,3.774833e-19,7.584038e-01,1.000000e-60,4.496132e-13,2.799091e-06,5.853362e-15,1.182337e-06,7.265893e-02
5.560896e+02,2.950884e-04,2.735886e-15,1.518194e-14,2.041224e-01,1.118959e-12,1.701363e-02,3.911961e-06,1.046037e-04,7.850540e-38,5.986734e-31,5.609997e-19,1.696952e-22,3.634273e-11,3.672999e-03,1.136800e-02,5.208667e-03,2.992681e-14,4.060148e-04,2.980434e-16,7.047353e-12,5.001133e-05,6.226783e-23,3.828250e-06,8.231546e-17,3.108403e-04,1.658958e-13,1.245487e-04,5.855523e-16,6.983033e-05,2.090854e-09,5.811747e-28,4.258365e-21,3.237664e-18,7.470930e-13,2.588233e-21,5.003199e-13,7.524363e-11,4.505241e-09,1.321995e-18,2.395584e-28,4.058771e-12,2.399078e-20,1.784206e-31,1.899654e-13,1.024606e-15,1.557146e-12,4.597773e-19,7.572411e-01,1.000000e-60,9.263410e-13,3.172557e-06,2.366176e-14,1.340090e-06,8.235337e-02
5.851054e+02,3.292451e-04,1.006343e-14,4.337956e-14,2.007932e-01,2.877980e-12,1.898297e-02,4.787157e-06,1.164933e-04,6.634812e-33,7.259579e-30,1.823594e-18,9.605862e-22,8.512742e-11,4.098151e-03,1.268386e-02,5.811574e-03,7.909799e-14,4.530117e-04,9.929021e-16,1.587174e-11,5.580017e-05,3.886784e-22,4.271372e-06,2.951067e-16,3.468203e-04,4.336763e-13,1.389653e-04,1.800604e-15,7.791324e-05,2.332871e-09,2.868643e-27,8.843641e-21,4.057791e-18,8.335690e-13,1.283107e-20,6.737777e-13,8.377598e-11,5.026725e-09,1.901553e-18,1.305418e-27,4.528576e-12,2.776648e-20,1.868378e-30,2.119540e-13,1.143205e-15,1.737387e-12,5.679177e-19,7.560979e-01,1.000000e-60,1.810895e-12,3.539782e-06,8.757355e-14,1.495210e-06,9.188582e-02
