T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.910000e+02,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,0.000000e+00
3.481983e+02,1.447279e-05,4.563526e-17,4.498119e-13,2.275137e-01,1.168388e-12,3.203542e-03,1.599808e-06,7.969929e-06,1.000000e-60,1.722128e-32,1.141240e-18,1.051356e-23,2.308240e-12,8.710520e-05,1.410221e-03,1.827744e-03,1.222959e-16,1.450632e-05,1.682055e-18,1.206685e-12,1.488092e-06,3.087348e-28,1.483122e-07,1.693947e-19,7.336180e-06,2.920345e-15,2.415769e-06,2.205606e-17,5.199444e-06,4.546275e-10,3.751515e-26,4.719340e-20,3.902251e-14,3.018439e-12,1.057333e-24,2.101536e-11,7.544494e-10,4.790376e-09,2.425966e-15,2.113348e-30,7.871219e-11,2.619722e-17,1.542087e-32,3.248882e-12,7.438802e-14,3.945927e-11,4.970785e-14,7.659020e-01,1.000000e-60,2.323629e-14,5.362623e-08,3.100477e-16,4.933047e-07,1.013834e-02
4.041089e+02,2.880942e-05,8.357764e-16,2.343553e-12,2.221956e-01,6.234764e-12,6.376945e-03,3.714876e-06,1.559161e-05,2.421512e-33,3.761680e-30,1.182096e-17,3.790693e-22,1.488416e-11,1.733909e-04,2.807174e-03,3.638292e-03,1.379229e-15,2.887614e-05,1.759621e-17,1.189968e-11,2.962185e-06,8.639166e-26,2.952291e-07,4.036850e-18,1.460334e-05,2.164071e-14,4.808810e-06,3.022717e-16,1.034997e-05,9.049778e-10,2.357943e-25,5.902999e-19,7.771443e-14,6.008441e-12,7.818391e-23,5.256107e-11,1.485353e-09,9.535685e-09,4.843602e-15,3.944011e-28,1.566838e-10,5.214138e-17,2.566095e-30,6.467198e-12,1.480762e-13,7.854727e-11,9.899424e-14,7.646975e-01,1.000000e-60,1.123884e-13,1.067480e-07,5.347123e-15,9.819691e-07,2.018130e-02
4.581134e+02,4.285590e-05,8.092759e-15,9.078061e-12,2.169848e-01,2.543183e-11,9.486123e-03,6.311762e-06,2.278867e-05,1.275564e-32,2.191465e-28,6.865781e-17,6.885374e-21,6.624022e-11,2.579303e-04,4.175855e-03,5.412197e-03,9.146241e-15,4.295508e-05,1.112697e-16,5.679680e-11,4.406444e-06,6.011249e-24,4.391726e-07,4.664080e-17,2.172343e-05,1.067423e-13,7.153420e-06,2.226842e-15,1.539626e-05,1.346214e-09,1.244260e-24,3.025638e-18,1.157607e-13,8.937786e-12,2.083993e-21,9.785495e-11,2.179407e-09,1.418495e-08,7.277764e-15,1.951768e-26,2.330775e-10,7.751549e-17,1.079492e-28,9.620380e-12,2.202730e-13,1.168441e-10,1.474193e-13,7.635174e-01,1.000000e-60,3.837231e-13,1.587946e-07,4.829512e-14,1.460746e-06,3.002101e-02
5.098758e+02,5.652244e-05,5.596000e-14,3.069337e-11,2.119148e-01,8.848630e-11,1.251120e-02,9.350472e-06,2.952703e-05,2.449739e-34,7.053980e-27,3.106908e-16,8.462733e-20,2.412840e-10,3.401831e-04,5.507514e-03,7.138121e-03,4.656567e-14,5.665299e-05,5.565904e-16,1.948086e-10,5.811639e-06,1.810336e-22,5.792226e-07,3.623234e-16,2.865092e-05,4.427274e-13,9.434613e-06,1.191983e-14,2.030607e-05,1.775515e-09,6.040861e-24,1.008312e-17,1.531472e-13,1.178751e-11,3.082393e-20,1.601319e-10,2.826772e-09,1.870847e-08,9.848174e-15,4.397617e-25,3.074048e-10,1.020353e-16,2.595896e-27,1.268827e-11,2.905170e-13,1.541046e-10,1.949204e-13,7.623692e-01,1.000000e-60,1.087533e-12,2.094334e-07,3.195723e-13,1.926576e-06,3.959456e-02
5.594030e+02,6.980347e-05,3.114531e-13,9.564981e-11,2.069875e-01,2.747300e-10,1.545095e-02,1.280763e-05,3.581504e-05,1.517647e-33,1.577903e-25,1.220695e-15,7.969603e-19,7.669021e-10,4.201156e-04,6.801610e-03,8.815358e-03,1.984280e-13,6.996394e-05,2.416541e-15,5.483701e-10,7.177195e-06,3.097632e-21,7.153222e-07,2.158180e-15,3.538302e-05,1.642583e-12,1.165146e-05,5.189756e-14,2.507740e-05,2.192706e-09,2.751412e-23,2.644574e-17,1.902889e-13,1.455601e-11,3.091681e-19,2.431084e-10,3.421446e-09,2.310438e-08,1.283178e-14,5.858177e-24,3.796354e-10,1.255737e-16,4.476974e-26,1.566963e-11,3.587796e-13,1.903131e-10,2.420155e-13,7.612534e-01,1.000000e-60,2.700800e-12,2.586440e-07,1.738610e-12,2.379279e-06,4.889806e-02
6.068103e+02,8.271976e-05,1.504324e-12,2.826209e-10,2.021953e-01,7.858341e-10,1.830995e-02,1.667639e-05,4.166803e-05,2.940930e-32,2.793791e-24,4.393165e-15,6.216770e-18,2.204865e-09,4.978529e-04,8.060164e-03,1.044653e-02,7.431012e-13,8.290790e-05,9.506826e-15,1.343077e-09,8.505236e-06,3.555663e-20,8.476843e-07,1.065577e-14,4.193023e-05,5.628849e-12,1.380745e-05,1.961205e-13,2.971775e-05,2.598440e-09,1.214220e-22,6.068591e-17,2.279731e-13,1.724685e-11,2.385396e-18,3.512427e-10,3.957721e-09,2.737956e-08,1.672213e-14,5.403837e-23,4.498822e-10,1.488278e-16,6.285180e-25,1.856910e-11,4.251673e-13,2.255250e-10,2.897963e-13,7.601683e-01,1.000000e-60,6.018619e-12,3.065035e-07,8.282883e-12,2.819578e-06,5.794604e-02
6.521930e+02,9.528495e-05,6.563560e-12,8.023743e-10,1.975331e-01,2.111616e-09,2.109123e-02,2.095808e-05,4.709170e-05,1.869391e-31,4.200081e-23,1.490153e-14,4.202473e-17,5.847832e-09,5.734770e-04,9.284502e-03,1.203335e-02,2.523861e-12,9.549676e-05,3.445727e-14,2.938059e-09,9.797133e-06,3.036395e-19,9.764491e-07,4.571170e-14,4.829949e-05,1.814462e-11,1.590487e-05,6.683557e-13,3.423213e-05,2.993146e-09,5.309661e-22,1.296820e-16,2.673742e-13,1.986171e-11,1.522401e-17,4.895968e-10,4.428575e-09,3.153851e-08,2.229904e-14,3.805901e-22,5.182193e-10,1.751295e-16,7.678621e-24,2.138974e-11,4.897502e-13,2.597756e-10,3.400343e-13,7.591127e-01,1.000000e-60,1.211047e-11,3.530631e-07,3.558230e-11,3.247973e-06,6.674804e-02
6.956009e+02,1.074984e-04,2.614491e-11,2.202179e-09,1.930012e-01,5.400227e-09,2.379461e-02,2.566113e-05,5.207717e-05,9.597153e-30,5.525413e-22,4.849741e-14,2.532492e-16,1.448694e-08,6.469840e-04,1.047455e-02,1.357572e-02,7.954106e-12,1.077261e-04,1.162133e-13,5.835431e-09,1.105273e-05,2.065062e-18,1.101612e-06,1.757026e-13,5.449050e-05,5.561552e-11,1.794370e-05,2.105666e-12,3.862056e-05,3.376806e-09,2.316198e-21,2.673484e-16,3.101503e-13,2.239874e-11,8.300159e-17,6.638105e-10,4.825320e-09,3.558100e-08,3.074160e-14,2.181832e-21,5.846426e-10,2.123724e-16,8.388593e-23,2.413141e-11,5.525248e-13,2.930599e-10,3.954097e-13,7.580866e-01,1.000000e-60,2.198416e-11,3.983224e-07,1.385715e-10,3.664514e-06,7.530354e-02
7.370412e+02,1.193455e-04,9.440031e-11,5.836439e-09,1.886053e-01,1.323320e-08,2.641679e-02,3.079783e-05,5.660044e-05,3.969433e-28,6.386436e-21,1.529525e-13,1.380168e-15,3.374496e-08,7.182856e-04,1.162887e-02,1.507175e-02,2.357717e-11,1.195740e-04,3.674742e-13,1.067727e-08,1.227035e-05,1.169395e-17,1.223026e-06,6.165977e-13,6.049592e-05,1.624527e-10,1.992168e-05,6.223190e-12,4.287840e-05,3.748972e-09,9.998652e-21,5.408369e-16,3.585296e-13,2.485254e-11,3.895694e-16,8.798014e-10,5.138071e-09,3.950208e-08,4.379824e-14,1.061218e-20,6.490714e-10,2.727708e-16,8.207627e-22,2.679080e-11,6.134151e-13,3.253334e-10,4.597407e-13,7.570913e-01,1.000000e-60,3.603543e-11,4.422316e-07,4.843828e-10,4.068845e-06,8.360213e-02
